ImageId,EncodedPixels
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,11147 7 11401 9 11655 12 11911 12 12166 13 12422 13 12677 13 12933 13 13189 12 13445 12 13701 11 13957 10 14214 7
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,45359 9 45614 11 45869 13 46125 13 46381 12 46637 12 46893 11 47150 9 47407 6
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,51099 3 51352 7 51606 10 51861 11 52116 12 52371 12 52626 13 52882 12 53137 13 53393 12 53649 11 53905 10 54161 9 54418 6
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,31887 10 32140 14 32394 17 32649 18 32904 19 33160 18 33415 19 33671 18 33927 17 34183 16 34440 14 34696 12 34953 10 35211 6
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,38820 4 39074 7 39329 9 39583 11 39838 12 40094 12 40350 12 40606 12 40862 11 41119 10 41375 9 41632 7 41889 5
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,50534 9 50788 12 51043 14 51298 15 51554 15 51809 16 52065 16 52321 16 52576 17 52833 15 53089 15 53346 13 53602 12 53860 8
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,41864 9 42381 14 42898 20 43416 23 43934 26 44453 27 44971 28 45489 29 46008 29 46526 30 47045 30 47564 29 48083 29 48602 28 49121 27 49641 25 50161 22
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,227 26 745 28 1264 28 1783 29 2302 29 2821 29 3340 29 3860 28 4379 28 4898 28 5418 27 5937 27 6457 25 6976 25 7495 25 8015 24 8534 24 9054 23 9573 22 10092 22 10612 20 11131 19 11651 17 12170 16 12690 14 13211 10 13732 5
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,25974 10 26490 15 27007 18 27524 20 28041 23 28558 25 29076 26 29595 26 30113 27 30632 27 31150 28 31669 27 32188 27 32707 26 33226 26 33745 25 34265 22 34784 21 35304 19 35823 17 36343 13 36863 10 37383 7
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,47301 18 47818 22 48336 24 48854 26 49373 26 49891 27 50410 27 50929 27 51448 26 51967 26 52486 25 53005 24 53524 22 54044 19 54566 12
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,72480 11 72996 16 73513 19 74031 20 74548 23 75066 25 75584 26 76102 27 76620 28 77139 28 77657 29 78175 30 78694 30 79212 31 79730 31 80249 31 80767 31 81286 31 81805 30 82324 29 82843 28 83362 26 83881 25 84400 23 84920 21 85440 18 85960 14 86481 8
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,25204 12 25721 16 26238 19 26756 21 27274 23 27792 25 28311 25 28829 26 29347 27 29866 27 30384 28 30903 28 31422 28 31941 28 32460 28 32979 27 33498 27 34017 26 34536 25 35056 23 35575 22 36095 20 36615 17 37136 13 37657 9
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,113804 14 114319 23 114837 26 115355 29 115873 31 116392 31 116911 32 117430 32 117949 32 118468 32 118987 32 119506 31 120026 30 120546 28 121066 25 121586 22 122107 18 122630 8
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,450 19 968 22 1487 22 2006 22 2525 22 3044 22 3564 21 4083 21 4603 19 5122 19 5642 17 6161 16 6681 15 7202 12 7723 8
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,58311 6 58826 15 59343 19 59861 21 60379 23 60898 23 61416 25 61935 25 62454 25 62972 26 63491 26 64010 26 64529 25 65048 24 65567 23 66086 22 66606 19 67126 15 67647 6
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,54242 9 54757 18 55274 22 55792 24 56310 27 56828 29 57347 30 57865 32 58384 32 58903 33 59422 33 59941 34 60460 34 60980 33 61499 33 62019 31 62538 31 63058 30 63579 27 64100 24 64620 21 65142 16 65666 5
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,29124 10 29641 15 30158 19 30676 21 31194 22 31712 23 32230 24 32748 25 33266 26 33785 25 34303 26 34822 25 35341 24 35860 23 36379 21 36898 20 37417 19 37936 18 38455 17 38974 16 39493 15 40013 13 40533 10 41056 2
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,51519 7 52035 12 52552 14 53069 17 53587 18 54105 19 54623 20 55141 21 55659 21 56177 22 56696 22 57214 22 57733 22 58252 21 58771 20 59289 20 59808 20 60327 19 60846 18 61366 17 61885 16 62404 16 62923 15 63443 14 63962 13 64482 11 65002 9 65522 7 66043 3
