ImageId,EncodedPixels
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,1 1
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,49825 1 50344 4 50863 6 51382 7 51901 8 52420 8 52939 9 53458 9 53977 9
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,58131 2 58134 8 58648 15 59167 17 59686 20 60205 21 60724 22 61243 25 61762 27 62281 28 62800 29 63319 29 63838 30 64357 30 64876 30 65395 21 65914 21 66433 21 66952 21 67471 21 67990 26 68509 28 69028 30 69547 31 70066 31 70585 33 71104 34 71623 34 72143 34 72663 33 73183 33 73703 31 74223 30 74743 30 75263 29 75786 25 76310 5 76828 6 77345 8 77863 9 78381 10 78899 11 79418 11 79936 12 80455 12 80974 12 81492 13 82011 13 82529 14 83048 14 83567 14 84087 13 84606 13 85125 13 85644 13 86164 12 86683 12 87203 11 87722 11 88241 11 88760 11 89279 11 89797 12 90316 12 90836 11 91355 11 91874 11 92394 10 92913 10 93433 9 93953 8 94474 6 94994 5 95516 2
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,119890 7 120409 7 120928 8 121447 8 121966 8 122485 8 123004 9 123523 8 124042 8 124561 8 125080 8 125599 8 126118 7 126637 7 127156 6 127675 6 128194 5 128713 4 129232 3 129751 2
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,25977 6 26495 9 27013 10 27531 12 28047 1 28049 14 28565 2 28568 14 29083 19 29601 20 30119 5 30125 15 30637 6 30644 15 31156 6 31163 14 31674 7 31683 13 32193 7 32203 11 32709 31 33228 31 33748 30 34267 29 34787 28 35306 8 35315 18 35826 7 35836 14 36346 6 36356 12 36867 4 36878 6 37389 1
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,49327 2 49846 4 50365 5 50884 6 51403 7 51922 7 52441 8 52960 9 53479 9 53998 10
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,98114 1 98116 37 98633 1 98635 38 99153 39 99672 40 99721 3 100191 40 100238 1 100240 6 100711 39 100755 10 101230 40 101272 13 101750 55 102269 56 102789 57 103309 57 103830 57 104350 58 104871 57 105393 48 105442 6 105914 2 105919 40 105961 7 106438 23 106462 16 106480 7 106957 21 106979 1 106981 15 106999 8 107476 21 107501 6 107510 6 107518 9 107996 20 108021 2 108024 2 108028 5 108037 9 108516 19 108547 1 108550 1 108556 10 109033 18 109054 19 109552 17 109573 20 110071 17 110092 20 110113 3 110117 1 110591 15 110611 27 111111 13 111130 28 111632 10 111649 30 112154 5 112168 31 112687 31 113206 32 113725 34 114244 33 114763 34 115282 35 115801 36 116320 36 116839 37 117358 37 117877 37 118396 37 118916 35 119436 34 119957 17 120476 17 120995 17 121514 17 122032 18 122551 18 123071 17 123591 16 124110 16 124630 15 125150 14 125670 13 126190 12 126710 10 127232 6 127752 4
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,119924 8 120443 8 120961 9 121479 10 121998 10 122517 10 123035 11 123554 11 124073 11 124592 11 125111 11 125630 11 126149 11 126668 11 127187 11 127707 10 128227 9 128746 9 129266 8 129786 7 130306 6 130826 5
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,6276 10 6793 14 7311 17 7829 19 8347 21 8866 21 9385 21 9904 21 10423 21
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,71670 10 72187 14 72705 17 73223 19 73741 21 74260 21 74779 21 75298 21 75817 21
