ImageId,EncodedPixels
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,15 7 272 6 529 5 786 4 1043 3 1300 2
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,5391 7 5648 6 5905 5 6162 4 6419 3 6676 2
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,10767 7 11024 6 11281 5 11538 4 11795 3 12052 2
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,16143 7 16400 6 16657 5 16914 4 17171 3 17428 2
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,21519 7 21776 6 22033 5 22290 4 22547 3 22804 2
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,26895 7 27152 6 27409 5 27666 4 27923 3 28180 2
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,32271 7 32528 6 32785 5 33042 4 33299 3 33556 2
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,37647 7 37904 6 38161 5 38418 4 38675 3 38932 2
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,43023 7 43280 6 43537 5 43794 4 44051 3 44308 2
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,48399 7 48656 6 48913 5 49170 4 49427 3 49684 2
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,53775 7 54032 6 54289 5 54546 4 54803 3 55060 2
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,59151 7 59408 6 59665 5 59922 4 60175 7 60432 6 60689 5 60946 4 61203 3 61460 2
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,36 7 293 6 550 5 807 4 1064 3 1321 2
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,5412 7 5669 6 5926 5 6183 4 6440 3 6697 2
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,10788 7 11045 6 11302 5 11559 4 11816 3 12073 2
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,16164 7 16421 6 16678 5 16935 4 17192 3 17449 2
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,21540 7 21797 6 22054 5 22311 4 22568 3 22825 2
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,26916 7 27173 6 27430 5 27687 4 27944 3 28201 2
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,32292 7 32549 6 32806 5 33063 4 33320 3 33577 2
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,37668 7 37925 6 38182 5 38439 4 38696 3 38953 2
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,43044 7 43301 6 43558 5 43815 4 44072 3 44329 2
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,46379 1 46635 2 46891 3 47147 3 47403 4 47659 5 47915 5 48171 6 48420 7 48677 6 48934 5 49191 4 49448 3 49705 2
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,53796 7 54053 6 54310 5 54567 4 54824 3 55081 2
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,59172 7 59429 6 59686 5 59943 4 60196 7 60453 6 60710 5 60967 4 61224 3 61481 2
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,57 7 314 6 571 5 828 4 1085 3 1342 2
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,5433 7 5690 6 5947 5 6204 4 6461 3 6718 2
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,10809 7 11066 6 11323 5 11580 4 11837 3 12094 2
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,16185 7 16442 6 16699 5 16956 4 17213 3 17470 2
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,21561 7 21818 6 22075 5 22332 4 22589 3 22846 2
