ImageId,EncodedPixels
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,43819 7 44075 10 44331 11 44587 12 44843 13 45099 14 45355 15 45611 15 45867 15 46123 16 46379 16 46635 16 46891 16 47147 16 47403 16 47659 16 47915 16 48171 15
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,48486 7 48741 10 48996 12 49251 13 49507 14 49763 14 50018 15 50274 15 50530 15 50786 16 51042 16 51298 15 51554 15 51811 14 52067 14 52323 14 52580 12 52836 11 53093 10 53349 8 53606 7 53866 5 54122 5 54378 6 54634 6 54890 6 55146 6 55402 6 55658 5 55914 5 56170 4 56426 3 56682 2 56938 1
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,10883 24 11138 24 11394 23 11650 22 11906 21 12162 19 12419 17 12675 17 12931 17 13187 17 13444 16 13700 16 13957 15 14213 15 14471 13 14728 12 14987 9 15243 9 15500 8 15758 3
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,30105 5 30358 10 30607 18 30861 21 31116 23 31371 25 31627 25 31882 27 32138 27 32392 27 32648 26 32903 27 33159 26 33415 26 33671 25 33928 24 34184 23 34440 21 34697 11 34709 5 34953 11 35210 10 35467 9 35724 8 35982 6
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,50068 3 50324 6 50580 8 50834 11 51089 13 51344 15 51599 16 51855 17 52111 17 52367 17 52623 17 52879 17 53135 17 53391 17 53647 17 53900 19 54156 19 54413 17 54669 17 54925 16 55183 13 55439 12 55697 9 55955 1 55957 3
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,37796 10 38049 13 38304 15 38559 16 38815 16 39070 17 39325 18 39581 17 39836 18 40092 17 40348 16 40604 15 40860 14 41116 13 41372 13 41628 13 41884 13 42140 13 42397 12 42654 11 42910 11
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,1 18 520 17 1039 17 1558 15 2077 14 2599 10 3121 3
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,45673 5 46192 8 46711 9 47230 11 47749 11 48268 12 48787 13 49306 14 49825 15 50344 15 50863 16 51382 16 51901 17 52420 17 52939 17 53458 17 53977 17
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,76294 8 76813 8 77332 8 77851 8 78370 9 78889 9 79408 9 79927 8 80446 8 80965 8 81484 7 82003 7 82522 6 83041 5 83560 5 84079 4 84598 2
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,113662 2 114181 4 114700 6 115219 6 115738 7 116257 8 116776 8 117295 8 117814 8 118333 8 118852 8 119371 8 119890 8 120409 8 120928 8 121447 9 121966 10 122485 10 123004 11 123523 11 124042 11 124561 11 125080 11 125599 11 126118 11 126637 11 127156 11 127675 12 128194 12 128713 12 129232 11 129751 11 130270 11 130789 10
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,57098 2 57616 3 58134 4 58651 12 59169 13 59688 12 60207 5 60213 5 60726 11 61246 11 61764 11 62283 10 62802 9 63323 7 63842 7
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,23896 5 24412 2 24415 8 24928 15 25444 20 25963 20 26480 23 26998 25 27516 27 28035 28 28553 29 29072 30 29590 31 30109 32 30627 33 31146 33 31665 33 32184 33 32701 32 33222 30 33741 30 34260 31 34779 30 35298 31 35818 30 36338 28 36857 28 37377 26 37896 26 38416 24 38936 22 39458 18 39985 8 40504 4
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,98107 6 98626 6 99145 6 99664 6 100183 6 100702 6 101221 9 101740 12 102260 13 102779 14 103299 14 103819 14 104339 13 104860 12 105379 12 105898 12 106417 12 106936 12 107455 12 107974 12 108493 12
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,48289 2 48808 4 49327 6 49846 6 50365 7 50884 8 51403 8 51922 8 52441 8 52960 8 53479 8 53998 8 54517 8 55036 8 55555 9 56074 10 56593 10 57112 11 57631 11 58150 11 58669 11 59188 11 59707 11 60226 11 60745 11 61264 11 61783 12 62302 12 62821 12 63340 11 63859 11 64378 11 64897 10
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,68018 2 68536 3 69054 4 69571 12 70089 13 70608 12 71127 5 71133 5 71646 11 72166 11 72684 11 73203 10 73722 9 74243 7 74762 7
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,89816 2 90334 3 90852 4 91369 12 91887 13 92406 12 92925 5 92931 5 93444 11 93964 11 94482 11 95001 10 95520 9 96041 7 96560 7
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,3707 1 3709 3 4221 13 4712 2 4737 18 5230 3 5254 21 5748 4 5773 21 6266 5 6292 21 6785 5 6795 4 6811 21 7304 18 7330 21 7823 23 7849 21 8342 24 8368 21 8861 25 8887 21 9380 47 9899 47 10418 47 10935 18 10984 8 11452 21 11503 9 11970 22 12022 9 12488 24 12541 9 13006 25 13060 10 13524 27 13579 9 14043 27 14098 10 14561 28 14617 10 15079 30 15136 10 15598 30 15655 10 16116 30 16174 10 16635 31 16693 11 17154 31 17212 11 17673 30 17731 11 18192 31 18250 10 18711 29 18769 10 19230 27 19288 10 19749 23 19807 10 20268 22 20326 9 20787 16 20845 9 21306 16 21364 9 21875 14 22394 15 22913 15 23432 15 23951 15 24470 15 24990 14 25509 13 26029 12 26549 10 27069 8 27589 2 27592 3 28108 1 28111 1 28628 1
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,109028 5 109544 8 110062 9 110580 10 111099 10 111617 11 112135 12 112654 12 113172 13 113691 13 114210 13 114729 13 115248 13 115767 13 116286 13 116805 13 117324 13 117843 13 118363 12 118883 11 119402 11 119932 21 120451 21 120970 21 121489 21 122008 21 122527 21 123046 21 123565 21 124084 21 124603 21 125122 21 125641 21 126160 21 126679 21 127199 19 127719 16 128244 2 128249 2
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,25495 1 26014 4 26533 6 27052 7 27571 9 28090 10 28609 10 29128 11 29647 11 30166 11 30685 11 31204 11 31723 11 32242 11 32740 35 33259 35 33778 35 34297 36 34816 35 35335 36 35854 36 36373 35 36894 33 37413 32 37933 31 38452 30 38971 29 39492 26 40012 23 40533 17 41056 4 41061 1 41573 6
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,72189 4 72703 13 73222 18 73741 19 74260 20 74779 21 75298 21 75817 21
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,78938 2 79456 3 79974 4 80491 12 81009 13 81528 12 82047 5 82053 5 82566 11 83086 11 83604 11 84123 10 84642 9 85163 7 85682 7
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,110606 1 110608 1 111125 3 111643 5 112161 1 112163 5 112681 2 112684 3 113201 1
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,87256 8 87775 8 88294 9 88813 10 89332 10 89851 11 90370 11 90889 11 91408 11 91927 11 92446 11 92965 11 93484 11 94003 11 94522 12 95041 12 95560 12 96079 11 96598 11 97117 11 97636 10
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,128257 1 128776 3 129295 4 129814 6 130333 7 130852 8
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,43681 8 44200 9 44719 9 45238 9 45757 10 46273 2 46276 9 46789 16 47305 19 47824 19 48341 21 48859 22 49377 24 49896 24 50414 25 50933 24 51451 25 51970 25 52488 26 53007 25 53526 25 54045 25 54560 20 55079 20 55598 20 56117 20 56637 19 57156 19 57176 6 57675 28 58194 29 58714 30 59233 31 59752 32 60272 33 60792 33 61312 32 61832 31 62352 31 62872 31 63392 30 63912 29 64434 25 64961 17 65472 18 65989 21 66507 22 67025 24 67543 25 68061 27 68580 27 69098 28 69616 30 70135 30 70653 30 71172 31 71691 31 72210 30 72729 31 73248 29 73767 27 74286 23 74805 22 75324 16 75843 16 76378 31 76897 31 77416 31 77935 31 78454 31 78973 20 78994 11 79492 18 79513 11 80012 15 80032 11 80533 12 80551 11 81070 11 81589 10 82108 10 82627 9 83146 9 83665 8 84184 7 84703 7 85222 6 85741 6 86260 4 86779 2
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,85 6 604 7 1123 7 1642 7 2161 6 2680 6 3199 4 3718 3 4237 2
