ImageId,EncodedPixels
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,50279 8 50534 10 50789 11 51044 13 51299 14 51554 15 51809 16 52065 16 52321 16 52577 16 52833 15 53089 14 53346 12 53603 10 53860 8
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,10895 1 11148 6 11402 9 11657 10 11912 11 12167 12 12422 13 12678 13 12934 12 13190 12 13446 11 13702 10 13958 9 14215 6 14472 3
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,45104 8 45359 10 45614 12 45869 14 46125 14 46381 13 46637 13 46894 11 47150 9 47408 6
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,38820 4 39074 7 39328 9 39583 10 39838 11 40094 11 40350 11 40606 11 40862 11 41119 9 41375 9 41632 7 41889 5
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,51097 6 51351 8 51606 10 51861 11 52116 12 52371 12 52626 13 52882 12 53138 12 53393 12 53649 11 53905 10 54162 7 54418 6
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,31634 3 31887 8 32141 11 32395 14 32650 15 32905 16 33161 16 33416 17 33672 17 33928 16 34184 15 34440 14 34697 11 34953 10 35210 8 35468 3
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,31133 4 31389 4 31644 5 31900 5 32156 5 32412 5 32668 5 32926 1
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,67388 20 67904 27 68422 30 68940 32 69458 34 69977 34 70496 34 71015 34 71534 34 72053 34 72573 32 73093 31 73613 29 74134 25 74656 20 75180 11
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,80918 2 81432 14 81949 18 82467 21 82986 22 83504 25 84023 26 84542 27 85061 29 85580 31 86099 32 86619 33 87138 34 87658 35 88177 36 88697 36 89218 34 89738 34 90259 32 90779 31 91301 28 91822 26 92345 21 92868 17 93391 11
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,54242 9 54758 16 55275 20 55792 24 56310 26 56828 28 57347 29 57865 31 58384 32 58903 33 59422 33 59941 34 60460 34 60979 34 61499 33 62018 33 62538 31 63058 30 63578 29 64099 26 64619 24 65140 21 65662 16 66187 4
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,50999 7 51515 11 52033 13 52550 16 53068 18 53586 19 54104 20 54622 21 55140 22 55658 23 56177 22 56695 23 57214 22 57733 22 58252 21 58770 21 59289 20 59808 19 60327 19 60846 18 61365 18 61885 16 62404 16 62923 15 63443 14 63962 13 64482 12 65002 10 65522 7 66044 1
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,117328 4 117844 9 118361 12 118879 14 119397 16 119915 18 120434 18 120953 19 121471 20 121990 21 122509 21 123028 21 123547 21 124066 21 124585 21 125104 21 125623 21 126142 21 126661 20 127181 19 127700 19 128220 17 128739 17 129259 15 129779 13
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,63929 6 64446 9 64963 12 65481 14 65999 16 66517 17 67036 18 67554 19 68073 20 68591 21 69110 21 69629 21 70148 22 70667 22 71186 22 71705 22 72224 22 72743 22 73263 21 73782 21 74301 21 74820 20 75340 19 75859 19 76379 17 76898 17 77417 16 77937 14 78457 13 78976 12 79496 10 80016 8 80538 2
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,26938 11 27454 16 27971 19 28489 20 29008 20 29526 21 30044 22 30563 22 31081 23 31600 23 32118 24 32637 24 33156 24 33674 24 34193 24 34712 23 35231 23 35749 23 36268 23 36787 22 37306 21 37825 20 38345 18 38864 17 39384 14 39905 10
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,450 19 968 22 1486 24 2005 24 2525 23 3044 23 3563 23 4082 23 4601 23 5121 21 5640 21 6159 21 6679 19 7199 17 7719 15 8239 13 8760 9 9283 1
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,58308 13 58825 17 59343 19 59861 21 60379 23 60898 24 61416 25 61935 25 62453 27 62972 27 63491 27 64010 26 64529 26 65048 25 65567 24 66087 22 66606 21 67125 18 67645 14 68167 5
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,52395 5 52913 7 53431 9 53950 9 54469 10 54988 10 55507 10 56026 11 56545 11 57064 11 57583 11 58102 11 58622 11 59141 11 59660 12 60180 11 60699 11 61219 10 61738 10 62257 10 62777 9 63296 9 63816 7 64336 6 64857 3
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,118334 1 118852 3 119371 4 119890 4 120409 5 120928 6 121447 6 121966 6 122485 7 123004 7 123523 7 124042 7 124561 7 125080 7 125599 7 126118 7 126637 7 127156 7 127675 7 128194 6 128713 5 129232 5 129751 4
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,46785 13 47301 19 47819 21 48337 23 48855 25 49373 26 49892 26 50411 26 50929 27 51448 27 51967 27 52486 26 53006 24 53525 23 54044 21 54565 17 55086 12
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,41346 7 41862 15 42379 21 42897 23 43415 26 43933 28 44452 28 44970 29 45489 29 46007 30 46526 30 47045 30 47564 30 48083 29 48602 28 49121 28 49641 26 50161 24 50681 20 51204 3 51211 5
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,45151 3 45669 4 46187 5 46705 6 47223 7 47741 8 48260 8 48779 8 49297 9 49816 9 50335 9 50855 8 51374 8 51893 8 52413 7 52933 6 53453 5 53975 2
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,8377 6 8895 8 9413 10 9932 11 10450 13 10968 15 11487 16 12005 17 12524 18 13043 18 13562 18 14081 19 14600 19 15119 19 15639 19 16158 19 16678 18 17198 18 17718 17 18238 16 18758 15 19277 16 19797 15 20317 14 20836 14 21356 13 21875 13 22395 12 22914 12 23434 10 23954 8 24476 3
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,47642 8 48156 17 48673 21 49191 23 49708 27 50226 29 50745 30 51263 31 51782 31 52301 31 52820 31 53339 31 53858 31 54377 30 54897 29 55416 28 55936 26 56457 23 56977 20 57500 4
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,24520 4 25038 7 25556 10 26074 12 26593 13 27111 14 27630 15 28149 16 28668 16 29187 17 29706 17 30225 18 30744 19 31263 19 31783 19 32302 19 32821 19 33341 18 33860 18 34380 17 34899 17 35419 16 35939 15 36460 13 36980 12 37500 11 38020 10 38543 5
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,24692 2 25204 13 25721 16 26239 19 26756 22 27274 23 27792 25 28310 26 28829 26 29347 27 29866 27 30384 28 30903 28 31422 28 31941 28 32460 28 32979 27 33498 27 34017 26 34536 26 35055 25 35575 23 36095 22 36614 21 37134 19 37654 16 38175 12 38697 7
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,7315 9 7832 12 8350 14 8869 15 9387 16 9905 18 10424 19 10942 20 11461 21 11980 21 12499 21 13018 21 13537 21 14056 21 14575 21 15094 21 15613 21 16132 21 16651 21 17170 20 17689 20 18208 19 18727 19 19247 17 19766 17 20285 16 20805 14 21324 13 21844 11 22363 10 22883 8
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,21178 10 21695 14 22212 16 22730 18 23249 19 23767 20 24286 20 24804 21 25323 21 25841 22 26360 22 26878 23 27397 23 27916 23 28434 24 28953 24 29472 23 29991 23 30509 24 31028 23 31547 23 32066 22 32585 22 33104 21 33624 19 34143 18 34663 15 35183 12
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,21427 8 21945 11 22463 13 22981 15 23500 16 24018 18 24537 19 25056 20 25574 21 26093 22 26612 22 27131 23 27650 23 28169 23 28689 23 29208 23 29727 23 30246 23 30766 22 31286 22 31805 21 32325 20 32845 19 33365 18 33884 17 34404 16 34924 14 35444 11 35965 8
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,71959 11 72476 16 72994 18 73512 20 74030 22 74547 25 75065 26 75583 27 76101 29 76620 29 77138 30 77656 31 78174 32 78693 31 79211 32 79730 32 80248 32 80767 31 81286 31 81805 30 82324 29 82842 29 83361 28 83881 25 84400 24 84919 22 85439 19 85959 17 86480 12 87002 4
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,63537 6 64054 9 64573 10 65091 12 65609 13 66128 14 66647 14 67165 16 67684 16 68203 16 68722 17 69241 17 69759 18 70278 18 70797 18 71316 18 71835 18 72354 18 72873 18 73392 18 73911 18 74430 18 74950 17 75469 17 75988 17 76507 17 77026 16 77545 16 78064 16 78583 16 79102 15 79622 14 80141 13 80660 13 81180 11 81700 10 82220 8 82740 5
